well_id,lat,long,aquifer_id
1057,17.8885,-76.5858,1
1058,18.4809,-77.8944,7
1061,18.4578,-77.6713,8
1062,18.0363,-77.6198,5
1071,17.928,-77.3216,4
1072,17.8933,-77.7486,5
1073,18.0144,-76.7474,2
1076,18.031,-77.6561,5
1077,18.2684,-77.0936,9
1078,17.931,-77.138,3
1080,18.452,-77.7485,8
1084,18.0142,-76.9559,3
1087,17.9484,-77.7249,5
1088,17.8819,-77.2767,4
1093,17.9067,-77.7624,5
1096,18.4033,-77.5858,8
1100,17.914,-76.5795,1
1101,17.93,-77.249,4
1106,17.9421,-77.1328,3
1107,18.4754,-77.7469,8
1108,17.9061,-77.2755,4
1111,17.8812,-77.2337,4
1112,18.07,-77.759,5
1115,17.9095,-77.2857,4
1119,18.0225,-77.2049,4
1120,18.459,-77.8472,7
1125,18.0554,-76.8125,2
1129,17.9859,-77.3864,4
1132,18.1761,-77.0479,3
1134,17.9806,-76.7713,2
1137,18.2565,-78.2848,6
1143,17.9682,-77.3209,4
1144,18.4403,-77.7107,8
1146,18.1725,-76.9998,3
1149,18.1328,-77.1588,3
1150,17.9915,-76.8004,2
1151,18.0155,-76.815,2
1156,18.404,-77.5993,8
1161,18.046,-76.9838,3
1166,18.4468,-77.3266,9
1168,18.0241,-76.9878,3
1171,18.4501,-77.6744,8
1175,17.9858,-76.7882,2
1177,18.0278,-76.9792,3
1179,17.9492,-77.779,5
1180,17.975,-77.2886,4
1184,17.949,-77.1606,4
1185,17.9488,-77.7758,5
1187,18.445522,-77.2521,9
1191,18.4543,-77.7278,8
1194,18.0123,-76.8075,2
1195,18.4465,-77.4208,9
1201,18.0152,-76.8159,2
1202,18.4279,-77.2084,9
1208,17.9796,-77.3211,4
1214,17.944,-77.2834,4
1217,17.9883,-76.7861,2
1219,18.4307,-77.6255,8
1223,17.9801,-77.2884,4
1229,18.4317,-77.5698,8
1230,18.4719,-77.566,8
1232,17.9661,-77.1207,3
1233,18.4684,-77.9001,7
1234,18.2537,-77.1116,9
1239,18.4297,-77.8832,7
1240,18.4073,-77.2239,9
1242,18.4475,-77.393,9
1243,18.0494,-77.6706,5
1246,18.0462,-76.8227,2
1251,17.9876,-76.7609,2
1254,17.9975,-76.7955,2
1256,18.035,-76.7948,2
1262,18.5016,-77.7346,8
1267,17.9919,-76.7874,2
1269,17.9919,-76.7802,2
1270,18.0265,-76.8046,2
1272,17.9997,-76.7385,2
1273,17.9258,-77.781,5
1274,17.959,-77.2501,4
1275,18.0195,-76.7538,2
1277,18.4482,-77.5639,9
1279,17.9228,-77.715,5
1281,18.0517,-76.8175,2
1286,18.0231,-76.7471,2
1289,18.418446,-77.540773,9
1290,17.9017,-77.177,4
1291,18.0342,-77.6058,5
1292,18.0454,-76.7816,2
1294,18.4822,-77.7726,8
1296,18.0576,-76.8115,2
1297,18.0017,-76.788,2
1299,17.9461,-77.2516,4
1301,18.1062,-77.8463,5
1303,17.9571,-77.2182,4
1304,18.3134,-77.07,9
1309,18.414979,-77.500326,9
1310,18.1904,-77.0292,3
1311,17.8963,-77.7383,5
1312,17.9994,-76.7734,2
1313,17.9998,-76.7739,2
1316,17.9432,-77.2369,4
1317,18.472,-77.7004,8
1320,18.0156,-76.7896,2
1322,18.4453,-77.4055,9
1323,18.0149,-76.7917,2
1328,18.0181,-77.6729,5
1332,18.3405,-77.0888,9
1336,17.8985,-77.7265,5
1337,17.9055,-77.7419,5
1340,18.0353,-77.7041,5
1341,18.0187,-76.7823,2
1343,18.3181,-77.0678,9
1345,17.8949,-77.5706,5
1346,17.8949,-77.5706,5
1349,18.0197,-76.7814,2
1351,18.3184,-77.0796,9
1354,18.0191,-76.7696,2
1358,18.3262,-77.0889,9
1359,18.4517,-77.5815,8
1367,18.3267,-77.0937,9
1368,17.9792,-77.6262,5
1372,17.8917,-77.7169,5
1377,17.9711,-77.6104,5
1384,17.9649,-77.604,5
1389,18.4006,-77.3846,9
1394,17.9369,-77.6117,5
1404,17.8921,-76.6126,1
1411,18.2488,-78.0999,6
1413,18.4113,-77.9333,7
1428,18.2501,-78.1211,6
1447,17.9576,-77.0366,3
1453,17.9349,-77.2964,4
1459,17.9303,-77.0743,3
1472,18.0274,-76.9853,3
1473,18.5085,-77.8128,7
1474,17.9509,-77.1178,3
1475,17.8774,-77.3327,4
1477,17.9419,-76.8355,2
1483,17.9409,-77.3292,4
1492,17.8005,-77.2315,4
1494,17.9588,-77.3506,4
1496,17.9599,-77.2727,4
1506,17.9603,-76.9289,3
1508,17.9212,-76.5858,1
1510,17.9211,-77.3516,4
1512,18.2852,-76.8672,10
1513,18.2777,-76.864,10
1515,17.838,-77.3041,4
1519,17.9605,-76.9705,3
1520,18.2295,-78.0668,6
1524,18.4501,-78.0486,7
1527,18.3414,-77.0714,9
1530,18.0995,-76.9917,3
1531,18.1521,-77.0082,3
1534,17.8853,-77.3344,4
1537,18.4456,-77.8935,7
1538,18.4507,-77.8061,7
1540,18.4156,-77.697,8
1549,17.7905,-77.273,4
1557,17.9739,-76.9099,3
1559,17.976,-76.908,3
1560,17.9724,-76.9062,3
1564,17.8562,-77.2419,4
1565,17.8274,-77.1879,4
1582,17.9135,-77.2535,4
1583,17.9191,-77.1039,3
1590,17.984805,-77.019235,3
1592,17.9723,-77.274,4
1594,17.9178,-77.1134,3
1595,17.9167,-77.1111,3
1599,17.8549,-77.2834,4
1602,17.9462,-77.0735,3
1605,18.459,-77.8472,7
1607,18.4039,-77.3284,9
1608,17.8047,-77.289,4
1609,17.996,-77.7461,5
1615,18.4629,-77.8328,7
1625,18.2533,-78.2204,6
1629,18.1306,-77.1591,3
1642,17.8051,-77.2036,4
1644,17.9143,-76.4423,1
1645,17.8166,-77.2197,4
1647,18.0266,-76.9169,3
1652,18.0116,-77.024,3
1664,18.0669,-77.646,5
1665,17.9748,-76.8969,3
1666,18.1226,-77.7498,5
1668,18.304,-76.8447,10
1670,17.9398,-77.1144,3
1671,17.9388,-77.1145,3
1675,18.018,-76.9837,3
1677,18.1144,-76.9416,3
1688,17.9636,-76.7305,2
1692,17.7767,-77.2361,4
1722,18.389,-77.4046,9
1729,17.9283,-77.2979,4
1730,17.9273,-77.3178,4
1731,17.9192,-77.3199,4
1732,18.0062,-76.9288,3
1735,17.7755,-77.2599,4
1736,18.4009,-77.9075,7
1741,17.8902,-77.3188,4
1747,18.165,-76.3975,10
1748,17.9361,-77.1664,4
1750,17.9956,-77.203,4
1752,18.4421,-77.2097,9
1756,17.8634,-77.3272,4
1767,17.9797,-76.8922,3
1773,17.9671,-77.0698,3
1777,17.8596,-77.3335,4
1778,17.8594,-77.3354,4
1785,17.9458,-77.3899,4
1786,18.2,-76.5141,10
1788,18.2536,-78.2555,6
1791,17.8188,-77.2617,4
